"ID";"NAME";"DATE";"CONTENT";"STATUS";"SOLUTION"
"1";"Manutenção de ramal";"2012-09-05 16:03:00";"Ramal 1112 encontra-se mudo.

telefone para contato : 9903-7567/
marta: 9976-6762";"closed";NULL
"2";"Manutenção";"2012-09-05 16:02:00";"Computador não inicializa.

CONFORME AO OFICIO 086/2012, COORDENADOR ERALDO SOUZA FERRAZ SOLICITA QUE SEJA FEITA A FORMATAÇÃO COM BACKUP.
DOCUMENTO ENCONTRA-SE NA CENTRAL.
SETOR: CEDU

MODELO:INFOWAY
SERIE: ST4160
PATRIMONIO: 10.011.121

TELEFONE PARA CONTATO : 99092125";"closed";"&lt;p&gt;Computador entregue.&lt;/p&gt;"
"3";"solicitação de emails dos docentes da ufal";"2012-09-05 17:22:00";"relação dos docentes dos tres campi da ufal e seus respectivos emails, conforme mostra quadro abaixo:
Docente      curso    unidade academica    campus


a solicitante pede para que seja enviado para o email: cdpprograd@gmail.com


obs: o documento encontra-se na central.";"closed";"&lt;p&gt;SQL utilizado na gera&#231;&#227;o de rela&#231;&#227;o&#160;&lt;span style=""background-color: #fff4df; font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif'; font-size: 11px;""&gt;Docente x curso x unidade academica x campus&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;&#160;&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;select DISTINCT D.NOME_DOCENTE DOCENTE, CP.EMAIL, U2.NOME_UNIDADE UNIDADE, CC.NOME_CURSO_COMPLETO CURSO, CAM.DESCRICAO CAMPUS&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;from TURMAS_VAGAS tv&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;inner join TURMAS_DOCENTES td on td.ID_TURMA = tv.ID_TURMA&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;inner join sie_web.VW_DOCENTES d on d.ID_CONTRATO_RH = td.ID_DOCENTE&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;INNER JOIN CURSOS C ON &#160;C.ID_CURSO = TV.ID_CURSO&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;INNER JOIN SIE_WEB.VW_COMPLEMENTO_CURSOS CC ON CC.ID_CURSO = TV.ID_CURSO&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;INNER JOIN ORG_INSTITUICAO U ON U.ID_UNIDADE = C.ID_UNIDADE&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;INNER JOIN ORG_INSTITUICAO U2 ON U2.ID_UNIDADE = U.ID_UNIDADE_SUP&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;inner join dbsm.CONTRATOS_RH rh on rh.ID_CONTRATO_RH &#160;= d.ID_CONTRATO_RH&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;inner join dbsm.FUNCIONARIOS f on &#160;RH.ID_FUNCIONARIO = f.ID_FUNCIONARIO&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;join dbsm.pessoas p on f.ID_PESSOA = p.ID_PESSOA&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;JOIN SIE_WEB.COMPLEMENTO_PESSOAS CP ON CP.ID_PESSOA = P.ID_PESSOA&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;INNER JOIN TAB_ESTRUTURADA CAM ON CAM.COD_TABELA = C.LOCAL_FISICO_TAB AND CAM.ITEM_TABELA = C.LOCAL_FISICO_ITEM&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;
&lt;p&gt;where tv.ANO = 2012 and tv.SITUACAO &lt;&gt; 'E' --n&#227;o exclu&#237;do&lt;/p&gt;
&lt;p&gt;&lt;span style=""background-color: #fff4df; font-size: 11px;""&gt;&lt;span style=""font-family: 'Bitstream Vera Sans', arial, Tahoma, 'Sans serif';""&gt;&lt;/span&gt;&lt;/span&gt;&lt;/p&gt;"
"4";"VERIFICAÇÃO DE EQUIPAMENTO NO LOCAL";"2012-09-06 10:50:00";"SUBSTITUIÇÃO DE COMPUTADORES E INCLUSÃO DE DOMINIO.
OBS:OS COMPUTADORES JÁ SAIRAM DO NTI JÁ CONFIGURADOS.";"closed";NULL
"6";"Relatório de Alunos Matriculados";"2012-09-06 11:32:00";" Solicitação do Prof. Eurico, que deseja saber atualmente qual é o número total de alunos matriculados na graduação da UFAL.

Se possível gostaríamos de saber estes números separados:
- Número de alunos matriculados nos cursos presenciais
- Número de alunos matriculados nos cursos a distância.

Assim que tiver esse quantitativo informar esses dados para os seguintes e-mails:
almsilva@gmail.com, felipesarmento@gmail.com


";"closed";NULL
"7";"Adicionar email na lista";"2012-09-06 11:42:00";"Adicionar o e-mail do Anderson (andersonbn.academico@gmail.com) na lista do desenvolvimento.";"closed";NULL
"8";"Manutenção de máquina no local";"2012-09-06 11:49:00";"Setor: Conexão de Saberes.
Duas máquinas estão sem acesso a internet com os referentes patrimônios 10026258 e 10093016.";"closed";NULL
"14";"Verificação de equipamento no local";"2012-09-10 08:15:00";"Sala: Secretaria Geral da FANUT
Computador visualiza impressora mas não imprime.
Ramal: 1160";"closed";NULL
"9";"VERIFICAR EQUIPAMENTO NO LOCAL";"2012-09-06 12:33:00";"Problema:Instalação e compartilhamento de impressora
patrimônios: 10.026.237-HP1010 E 10.131.367-HP2050
telefone:3214-1078
";"closed";NULL
"10";"SOLICITAÇÃO DO SERVICE DESK";"2012-09-06 15:16:00";"1-quado muda o status de processando (atribuído) para solucionado não é permitido acrescentar follow-up.
2-Para adicionar o setor do requerente antes temos que inserir o (*), ex: *NTI
3- Acrescentar campo telefone na parte de requerente
4- Adicionar campo patrimônio (necessário quando o atendimento é do Suporte)

";"closed";"&lt;p&gt;Item 1 - Modificado workflow: ser&#227;o adicionados followups enquanto os chamados estiverem nos estados de novo a pendente, enquanto que para finalizar o chamado, deve-se adicionar uma solu&#231;&#227;o na aba ""solu&#231;&#227;o"", que automaticamente ser&#227;o mudados entre os estados solucionado e fechado. No entanto para fechar definitivamente o chamado, o usu&#225;rio dever&#225; confirmar a solu&#231;&#227;o proposta para o t&#233;cnico, ainda assim, caso o usu&#225;rio solicitante n&#227;o o fa&#231;a, o sistema ir&#225; fechar os chamados em 30 dias se n&#227;o houver feedback por parte do usu&#225;rio.&lt;/p&gt;
&lt;p&gt;2 - J&#225; foi resolvido.&lt;/p&gt;
&lt;p&gt;3 e 4 - Adicionado template (modelo) na descri&#231;&#227;o do chamado, sendo assim, n&#227;o ser&#225; mais necess&#225;rio adicionar tais campos.&lt;/p&gt;"
